,,MATERIAL_ID,item,item,,position,qty,color_way,color_way
0,0.0,9.0,zipper, #5 COIL ZIPPER,YKK / 1-WAY SEMI AUTO LOCKING WITH 1 L1 CUSTOM PULL,CENTER FRONT,1,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR:X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK
1,1.0,10.0,zipper, #5 COIL ZIPPER,NON YKK / 1-WAY DADHR DIE CAST WIRE NON LOCKING,LINING POCKET VERTICAL,1,SILDER/PULL COLOR: X6 BLACK OXIDES ZIPPER TAPE COLOR: BLACK,SILDER/PULL COLOR:X6 BLACK OXIDES  ZIPPER TAPE COLOR: BLACK
2,2.0,13.0,other,"""L1-2018-TRIM-017
L1 Zipper Pull",YKK,CENTER FRONT,1,X6 BLACK OXIDES ,X6 BLACK OXIDES 
3,3.0,14.0,other, 11NT-045 / SELF FABRIC PULL ,FACTORY MADE,LINING POCKET VERTICAL,1,MATCH TO SHELL,MATCH TO SHELL
4,4.0,17.0,other,"L1-2018-TRIM-011
Half Deboss Snap",LUKS,CENTER FRONT PLACKET,5,AL023 ALLOY (D),AL023 ALLOY (D)
5,5.0,18.0,other,"L1-2018-TRIM-002
Black Leather patch",PLEASE SOURCE,FRONT RIGHT HEM,1,BLACK FAUX LEATHER,BLACK FAUX LEATHER
6,6.0,19.0,other,"L1-2018-TRIM-024
L1 EMBROIDERY SMALL
3cm x 2.77cm  ",PLEASE SOURCE,LEFT SLEEVE HEM,1,MATCH TO SHELL,MATCH TO SHELL
7,7.0,22.0,other,SCREEN PRINT - QUALITY AS ON SAMPLE OF BLACK JACKET PAMELA HAS FOR COLLAR REFERENCE,XXX,LEFT CHEST,1,"2 COLOR: PANTONE BLACK, PANTONE 18-0950 TPX HARVEST","2 COLOR: PANTONE BLACK, PANTONE 18-0950 TPX HARVEST"
8,8.0,28.0,other,15MM METAL SNAP,LUK'S / 404,HAND POCKET WELTS,1 PER SIDE = 2,AL023 ALLOY (D),AL023 ALLOY (D)
9,9.0,29.0,other,METAL EYELETS 11MM,LUK'S / ET89,HEM CORD EXIT,1 PER SIDE = 2,AL023 ALLOY (D),AL023 ALLOY (D)
10,10.0,32.0,other,8MM ROUND DRAWCORD,XXX,HEM,1 (SEE MEASUREMENTS PAGE FOR LENGTH),BLACK,BLACK
11,11.0,33.0,other,"1"" FLAT ELASTIC",XXX,SLEEVE HEMS,1 PER SIDE = 2,AVAILABLE,AVAILABLE
12,12.0,40.0,other,TOPSTITCH,8-10 SPI,30/2,,MATCH TO SHELL,MATCH TO SHELL
13,13.0,41.0,other,BARTACKS,,100/2,,MATCH TO SHELL,MATCH TO SHELL
14,14.0,44.0,label,DWR,SOLUNA/ MAIN LABEL,CENTER BACK BELOW NECK SEAM,1,DWR,DWR
15,15.0,48.0,other,MENS JACKET HANG TAG,SOLUNA/ MENS JACKET HANG TAG,CENTER BACK LOCKER LOOP,1,MENS JACKET HANG TAG,MENS JACKET HANG TAG
16,16.0,52.0,label,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,ADDRESS LABEL,ADDRESS LABEL
17,17.0,53.0,label,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,CONTENT LABEL,CONTENT LABEL
18,18.0,54.0,label,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1,WASHING LABEL,WASHING LABEL
